extracted_at,timestamp,latitide,longitude,timezone,elevation,temperature_c
2026-04-26 15:09:42,2026-05-01 11:00:00,16.555359,121.48714,GMT,242.0,29.4
2026-04-26 15:09:42,2026-05-01 12:00:00,16.555359,121.48714,GMT,242.0,28.0
2026-04-26 15:09:42,2026-05-01 13:00:00,16.555359,121.48714,GMT,242.0,27.0
2026-04-26 15:09:42,2026-05-01 14:00:00,16.555359,121.48714,GMT,242.0,26.3
2026-04-26 15:09:42,2026-05-01 15:00:00,16.555359,121.48714,GMT,242.0,25.6
2026-04-26 15:09:42,2026-05-01 16:00:00,16.555359,121.48714,GMT,242.0,25.0
2026-04-26 15:09:42,2026-05-01 17:00:00,16.555359,121.48714,GMT,242.0,24.4
2026-04-26 15:09:42,2026-05-01 18:00:00,16.555359,121.48714,GMT,242.0,23.9
2026-04-26 15:09:42,2026-05-01 19:00:00,16.555359,121.48714,GMT,242.0,23.4
2026-04-26 15:09:42,2026-05-01 20:00:00,16.555359,121.48714,GMT,242.0,23.0
2026-04-26 15:09:42,2026-05-01 21:00:00,16.555359,121.48714,GMT,242.0,23.1
2026-04-26 15:09:42,2026-05-01 22:00:00,16.555359,121.48714,GMT,242.0,25.8
2026-04-26 15:09:42,2026-05-01 23:00:00,16.555359,121.48714,GMT,242.0,26.6
2026-04-26 15:09:42,2026-05-02 00:00:00,16.555359,121.48714,GMT,242.0,27.4
2026-04-26 15:09:42,2026-05-02 01:00:00,16.555359,121.48714,GMT,242.0,28.4
2026-04-26 15:09:42,2026-05-02 02:00:00,16.555359,121.48714,GMT,242.0,29.5
2026-04-26 15:09:42,2026-05-02 03:00:00,16.555359,121.48714,GMT,242.0,30.8
2026-04-26 15:09:42,2026-05-02 04:00:00,16.555359,121.48714,GMT,242.0,31.9
2026-04-26 15:09:42,2026-05-02 05:00:00,16.555359,121.48714,GMT,242.0,32.7
2026-04-26 15:09:42,2026-05-02 06:00:00,16.555359,121.48714,GMT,242.0,33.0
2026-04-26 15:09:42,2026-05-02 07:00:00,16.555359,121.48714,GMT,242.0,32.7
2026-04-26 15:09:42,2026-05-02 08:00:00,16.555359,121.48714,GMT,242.0,31.8
2026-04-26 15:09:42,2026-05-02 09:00:00,16.555359,121.48714,GMT,242.0,30.7
2026-04-26 15:09:42,2026-05-02 10:00:00,16.555359,121.48714,GMT,242.0,29.4
2026-04-26 15:09:42,2026-05-02 11:00:00,16.555359,121.48714,GMT,242.0,28.2
2026-04-26 15:09:42,2026-05-02 12:00:00,16.555359,121.48714,GMT,242.0,27.2
2026-04-26 15:09:42,2026-05-02 13:00:00,16.555359,121.48714,GMT,242.0,26.3
2026-04-26 15:09:42,2026-05-02 14:00:00,16.555359,121.48714,GMT,242.0,25.4
2026-04-26 15:09:42,2026-05-02 15:00:00,16.555359,121.48714,GMT,242.0,24.5
2026-04-26 15:09:42,2026-05-02 16:00:00,16.555359,121.48714,GMT,242.0,23.8
2026-04-26 15:09:42,2026-05-02 17:00:00,16.555359,121.48714,GMT,242.0,23.2
2026-04-26 15:09:42,2026-05-02 18:00:00,16.555359,121.48714,GMT,242.0,23.1
2026-04-26 15:09:42,2026-05-02 19:00:00,16.555359,121.48714,GMT,242.0,23.4
2026-04-26 15:09:42,2026-05-02 20:00:00,16.555359,121.48714,GMT,242.0,24.0
2026-04-26 15:09:42,2026-05-02 21:00:00,16.555359,121.48714,GMT,242.0,24.8
2026-04-26 15:09:42,2026-05-02 22:00:00,16.555359,121.48714,GMT,242.0,25.8
2026-04-26 15:09:42,2026-05-02 23:00:00,16.555359,121.48714,GMT,242.0,26.8
2026-04-27 16:53:29,2026-04-27 00:00:00,16.555359,121.48714,GMT,242.0,26.1
2026-04-27 16:53:29,2026-04-27 01:00:00,16.555359,121.48714,GMT,242.0,28.1
2026-04-27 16:53:29,2026-04-27 02:00:00,16.555359,121.48714,GMT,242.0,29.7
2026-04-27 16:53:29,2026-04-27 03:00:00,16.555359,121.48714,GMT,242.0,31.0
2026-04-27 16:53:29,2026-04-27 04:00:00,16.555359,121.48714,GMT,242.0,31.7
2026-04-27 16:53:29,2026-04-27 05:00:00,16.555359,121.48714,GMT,242.0,31.6
2026-04-27 16:53:29,2026-04-27 06:00:00,16.555359,121.48714,GMT,242.0,32.4
2026-04-27 16:53:29,2026-04-27 07:00:00,16.555359,121.48714,GMT,242.0,31.6
2026-04-27 16:53:29,2026-04-27 08:00:00,16.555359,121.48714,GMT,242.0,30.9
2026-04-27 16:53:29,2026-04-27 09:00:00,16.555359,121.48714,GMT,242.0,29.4
2026-04-27 16:53:29,2026-04-27 10:00:00,16.555359,121.48714,GMT,242.0,28.0
2026-04-27 16:53:29,2026-04-27 11:00:00,16.555359,121.48714,GMT,242.0,26.8
2026-04-27 16:53:29,2026-04-27 12:00:00,16.555359,121.48714,GMT,242.0,26.0
2026-04-27 16:53:29,2026-04-27 13:00:00,16.555359,121.48714,GMT,242.0,25.2
2026-04-27 16:53:29,2026-04-27 14:00:00,16.555359,121.48714,GMT,242.0,24.6
2026-04-27 16:53:29,2026-04-27 15:00:00,16.555359,121.48714,GMT,242.0,24.2
2026-04-27 16:53:29,2026-04-27 16:00:00,16.555359,121.48714,GMT,242.0,23.9
2026-04-27 16:53:29,2026-04-27 17:00:00,16.555359,121.48714,GMT,242.0,23.6
2026-04-27 16:53:29,2026-04-27 18:00:00,16.555359,121.48714,GMT,242.0,23.5
2026-04-27 16:53:29,2026-04-27 19:00:00,16.555359,121.48714,GMT,242.0,23.1
2026-04-27 16:53:29,2026-04-27 20:00:00,16.555359,121.48714,GMT,242.0,22.9
2026-04-27 16:53:29,2026-04-27 21:00:00,16.555359,121.48714,GMT,242.0,22.8
2026-04-27 16:53:29,2026-04-27 22:00:00,16.555359,121.48714,GMT,242.0,23.2
2026-04-27 16:53:29,2026-04-27 23:00:00,16.555359,121.48714,GMT,242.0,25.7
2026-04-27 16:53:29,2026-04-28 00:00:00,16.555359,121.48714,GMT,242.0,27.5
2026-04-27 16:53:29,2026-04-28 01:00:00,16.555359,121.48714,GMT,242.0,29.0
2026-04-27 16:53:29,2026-04-28 02:00:00,16.555359,121.48714,GMT,242.0,30.1
2026-04-27 16:53:29,2026-04-28 03:00:00,16.555359,121.48714,GMT,242.0,31.5
2026-04-27 16:53:29,2026-04-28 04:00:00,16.555359,121.48714,GMT,242.0,32.5
2026-04-27 16:53:29,2026-04-28 05:00:00,16.555359,121.48714,GMT,242.0,32.0
2026-04-27 16:53:29,2026-04-28 06:00:00,16.555359,121.48714,GMT,242.0,29.6
2026-04-27 16:53:29,2026-04-28 07:00:00,16.555359,121.48714,GMT,242.0,27.5
2026-04-27 16:53:29,2026-04-28 08:00:00,16.555359,121.48714,GMT,242.0,27.1
2026-04-27 16:53:29,2026-04-28 09:00:00,16.555359,121.48714,GMT,242.0,26.6
2026-04-27 16:53:29,2026-04-28 10:00:00,16.555359,121.48714,GMT,242.0,25.8
2026-04-27 16:53:29,2026-04-28 11:00:00,16.555359,121.48714,GMT,242.0,25.0
2026-04-27 16:53:29,2026-04-28 12:00:00,16.555359,121.48714,GMT,242.0,24.8
2026-04-27 16:53:29,2026-04-28 13:00:00,16.555359,121.48714,GMT,242.0,24.4
2026-04-27 16:53:29,2026-04-28 14:00:00,16.555359,121.48714,GMT,242.0,24.0
2026-04-27 16:53:29,2026-04-28 15:00:00,16.555359,121.48714,GMT,242.0,23.7
2026-04-27 16:53:29,2026-04-28 16:00:00,16.555359,121.48714,GMT,242.0,23.5
